Visual Mean,Visual SEM,Auditory Mean,Auditory SEM
[248.86802734375],[46.29780431436292],[171.99146484375],[4.591051815269245]
[215.03766845703126],[12.076500743326417],[194.50154702970298],[17.259708838533438]
[236.117333984375],[18.35229707208931],[180.12943603515626],[11.55391270652429]
[225.87770751953124],[6.140590174287066],[208.2687255859375],[4.1419383031519725]
[199.41695068359374],[4.2524750399044535],[166.5386865234375],[3.407842755329546]
[230.452158203125],[22.314668696063457],[199.63083740234376],[14.313844971859302]
[236.5725],[28.758048304195018],[194.85125792852722],[27.93755508582638]
[237.69874096942203],[4.942615939115312],[213.5968720407197],[5.5776051415903645]
[207.45623046875],[17.49759390056963],[176.29140625],[4.637311820533096]
[225.175],[3.498301355477737],[218.7121171101485],[7.4243664940523555]
[290.61232177734377],[34.42526285712903],[187.76839273282798],[11.666309944908102]
