Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[656.6256612141927],[21.114988075370427],[827.67708984375],[28.606655918217438]
[729.7602982954545],[24.18040612527749],[827.67708984375],[28.606655918217438]
