Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[417.6397480867347],[7.7928957492700786],[408.4302311533505],[11.084642052330631]
[398.40725806451616],[9.29055455398593],[408.4302311533505],[11.084642052330631]
