Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[441.0223099226804],[7.65968030355225],[292.8534169823232],[4.254390950149672]
[415.6141495852126],[8.96698764922218],[292.8534169823232],[4.254390950149672]
