Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[407.25992922438786],[8.620573982967876],[423.7479940198131],[9.947343565788929]
[551.5472604851974],[13.675080915031616],[423.7479940198131],[9.947343565788929]
