Visual Mean,Visual SEM,Auditory Mean,Auditory SEM
183.94354590941012,2.332600855431182,171.51030585106383,3.7067609549663323
190.5430197244162,2.403052278828754,157.99728225875685,2.132298157519535
199.528194466817,3.6666014086776086,168.36519368489584,3.241523154821004
207.87018330891928,3.7731682981837285,164.1194320186492,2.9206726397464524
196.45164674192995,2.229607464188938,172.09404130415484,1.807920650608913
216.50845829133064,3.3753117432577757,201.7857267680921,3.0229579899310366
215.25493216007314,3.3939121082400106,182.3008027129121,2.8630600445247207
217.81554533305922,6.519001984706778,145.4196724269701,2.289788876838316
208.57928466796875,2.1040471526646396,205.63763427734375,3.297115639392094
169.43827948512802,1.9932751842879615,140.11893404447116,1.8939280562408793
