Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[504.6185567010309],[14.829105564482374],[327.32978415975765],[9.292756042273748]
[472.7995142886513],[9.629512177528934],[423.7479940198131],[9.947343565788929]
