Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[479.90585097446234],[11.252096236373001],[539.1647628630051],[18.31921059097832]
[516.274015727796],[10.846029184852393],[539.1647628630051],[18.31921059097832]
