Visual Mean,Visual SEM,Auditory Mean,Auditory SEM
[339.51123976934525],[6.881139331032542],[294.8527174729567],[6.375484080617493]
[415.0739506312779],[12.041718824327614],[264.282916015625],[6.625744359511449]
[313.4783888596755],[7.369501072074424],[256.83748986586085],[6.648334080373986]
[329.5959295099432],[5.879276829687802],[269.1372668696385],[6.515118143415175]
[359.5485283879951],[9.12492474724449],[278.8920730890012],[6.854435321888748]
[321.3275750910194],[6.6113721521726845],[289.6518004174326],[5.5968493907374555]
[354.8159726899246],[11.158883822352427],[275.58792550223217],[7.585241702353089]
[353.3164441747573],[7.00906842991268],[297.29803941764084],[6.684725139254815]
[319.73821614583335],[7.644730656296581],[288.1568029067096],[13.003712526519385]
