Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[289.82083714261967],[5.307692107570007],[171.00640803511425],[2.090131079086369]
[223.4997348580309],[2.6950592697544815],[171.00640803511425],[2.090131079086369]
