Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[463.17585656998006],[9.84591951544852],[590.315308850221],[20.151082192941463]
[524.2795698924731],[9.869489225704479],[590.315308850221],[20.151082192941463]
