Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[420.98724489795916],[7.1883583859299875],[325.70130803034857],[9.136731462209971]
[493.82757371471774],[10.946682028956035],[325.70130803034857],[9.136731462209971]
