Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[324.029296875],[10.977418137700656],[600.3824361165365],[32.037808916664474]
[315.4465194873595],[9.901561932740051],[600.3824361165365],[32.037808916664474]
