Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[224.8240414268092],[3.478903406121357],[199.63083740234376],[14.313844971859302]
[233.7575454711914],[4.626068687343303],[199.63083740234376],[14.313844971859302]
