Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[269.2258064516129],[4.906896832003852],[207.21115423708545],[3.320184111143523]
[308.3388671875],[7.468327154288546],[207.21115423708545],[3.320184111143523]
