Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[328.1159922281901],[7.62456622951507],[221.28948325299203],[5.388391255708073]
[267.7789465862772],[5.554441692059341],[221.28948325299203],[5.388391255708073]
