Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[323.17080965909093],[7.9600187043381325],[213.5968720407197],[5.5776051415903645]
[269.2258064516129],[4.906896832003852],[207.21115423708545],[3.320184111143523]
