Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[374.6773721018145],[7.672165163074193],[369.4242528279622],[8.966205764844336]
[380.8947225354381],[9.749561922113172],[369.4242528279622],[8.966205764844336]
