Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[339.76],[7.419672458669547],[269.1372668696385],[6.515118143415175]
[398.2996710526316],[10.428137118990627],[269.1372668696385],[6.515118143415175]
