Touch Mean,Touch SEM,Auditory Mean,Auditory SEM
[404.4194210091817],[8.067641184482593],[303.4560852050781],[5.386600964412846]
[373.11730458785075],[7.9282775057145685],[303.4560852050781],[5.386600964412846]
