496,85401056,1,1,1
86858444,87020128,1,1,1
87764516,87934376,1,1,1
1
83586336,83753180,1,1,1
84296568,84535012,1,1,1
85171396,85401056,1,1,1
86858444,87020128,1,1,1
87764516,87934376,1,1,1
1738843091.000,4984404
ObjShowTime,ReactionTime,StimType,Guess,Correct
47965888,48244652,1,1,1
49682028,49854568,1,1,1
50959956,51118956,1,1,1
52040348,52200916,1,1,1
53670296,53838788,1,1,1
54823184,54990336,1,1,1
56282728,56437196,1,1,1
57515580,57664724,1,1,1
58326112,58511280,1,1,1
59847660,60029196,1,1,1
60591580,60798596,1,1,1
61446988,61607320,1,1,1
62694700,62862260,1,1,1
63430644,63616880,1,1,1
64942272,65110204,1,1,1
66032584,66183240,1,1,1
67172628,67359948,1,1,1
68186332,68356444,1,1,1
69806824,69968068,1,1,1
71394464,71550084,1,1,1
72771476,72959128,1,1,1
73637516,73844372,1,1,1
74660760,74824728,1,1,1
75809108,75943504,1,1,1
76843896,77015032,1,1,1
77524424,77734060,1,1,1
79014444,79180552,1,1,1
79782944,79994700,1,1,1
81127084,81486944,1,1,1
82637328,82804352,1,1,1
83753740,83914252,1,1,1
84837640,85008648,1,1,1
86297036,86451652,1,1,1
87554032,87721760,1,1,1
88547136,88698792,1,1,1
89670184,89812496,1,1,1
90383884,90569548,1,1,1
91173940,91335272,1,1,1
92138664,92308540,1,1,1
92864924,93034688,1,1,1
94229072,94404680,1,1,1
95678060,95862904,1,1,1
96812292,96962960,1,1,1
97844352,98009484,1,1,1
98757880,98953164,1,1,1
100407560,100580292,1,1,1
102003780,102175324,1,1,1
103213796,103416836,1,1,1
104239320,104401848,1,1,1
105197324,105368404,1,1,1
106716880,106856988,1,1,1
108033460,108215400,1,1,1
109362876,109519128,1,1,1
110465604,110644528,1,1,1
111955008,112109716,1,1,1
112954188,113119068,1,1,1
114349544,114507628,1,1,1
115390108,115557276,1,1,1
116568760,116716088,1,1,1
118029568,118167284,1,1,1
119597752,119782204,1,1,1
120569684,120730432,1,1,1
121481904,121636156,1,1,1
122645632,122797652,1,1,1
123882132,124044424,1,1,1
125306900,125475376,1,1,1
126524852,126694964,1,1,1
127491436,127665108,1,1,1
129095584,129285420,1,1,1
129970900,130179176,1,1,1
131262656,131424908,1,1,1
132281384,132440820,1,1,1
133054296,133237120,1,1,1
134492592,134663872,1,1,1
135779352,135933988,1,1,1
136840464,136997628,1,1,1
138003104,138159852,1,1,1
138913324,139064852,1,1,1
140463340,141118704,1,1,1
141717176,141979248,1,1,1
143081732,143236656,1,1,1
144358124,144521244,1,1,1
145145724,145338792,1,1,1
145974268,146139112,1,1,1
147374596,147575944,1,1,1
148504420,148666588,1,1,1
149853056,149982992,1,1,1
151459464,151641096,1,1,1
152695568,152849616,1,1,1
153677104,153846924,1,1,1
153677104,155103116,1,1,1
156109596,156645200,1,1,1
157940668,158103036,1,1,1
159115516,159275016,1,1,1
160309504,160479796,1,1,1
161663284,161843368,1,1,1
162776844,162961384,1,1,1
163997880,164154344,1,1,1
164949816,165110692,1,1,1
166237172,166387036,1,1,1
167865524,168197920,1,1,1
