1726152149.000,3778968
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,9032908,9339812,1,1,1
2,9923168,10161876,1,1,1
3,10833276,11006508,1,1,1
4,11549976,11756472,1,1,1
5,12875944,13016572,1,1,1
6,13713032,13870340,1,1,1
7,15012800,15160856,1,1,1
8,16066316,16219840,1,1,1
9,16930296,17086440,1,1,1
10,17724900,17889564,1,1,1
11,19046064,19166168,1,1,1
12,20472672,20622288,1,1,1
13,21812800,21958028,1,1,1
14,22712528,22914008,1,1,1
15,23444524,23645216,1,1,1
16,24925708,25078572,1,1,1
17,26430068,26584376,1,1,1
18,27732872,27890736,1,1,1
19,28433240,28672916,1,1,1
20,29540428,29689420,1,1,1
21,30638920,30819448,1,1,1
22,31915952,32045860,1,1,1
23,33382356,33544288,1,1,1
24,34584792,34707964,1,1,1
25,35776468,35927288,1,1,1
26,36690788,36871364,1,1,1
27,37947872,38100684,1,1,1
28,39034180,39198796,1,1,1
29,40661300,40808872,1,1,1
30,41473376,41686768,1,1,1
31,42206268,42400604,1,1,1
32,43744104,43906292,1,1,1
33,44958796,45123616,1,1,1
34,45877116,46060112,1,1,1
35,47352612,47507056,1,1,1
36,48247560,48413724,1,1,1
37,49893220,50151416,1,1,1
38,51564924,51698612,1,1,1
39,52329116,52562736,1,1,1
40,53642244,53762864,1,1,1
41,55101360,55244320,1,1,1
42,56040816,56181304,1,1,1
43,57140812,57285100,1,1,1
44,58651604,58776132,1,1,1
45,59517636,59655440,1,1,1
46,61104936,61319320,1,1,1
47,61875832,62100784,1,1,1
48,62609284,62854412,1,1,1
49,64237920,64405780,1,1,1
50,65505276,65790784,1,1,1
51,66846292,67015052,1,1,1
52,67926552,68081796,1,1,1
53,69112304,69384084,1,1,1
54,70735592,70874540,1,1,1
55,71802048,71945712,1,1,1
56,73180228,73321516,1,1,1
57,74474016,74636632,1,1,1
58,75864140,76023336,1,1,1
59,77000844,77166792,1,1,1
60,78326296,78463312,1,1,1
61,79268824,79542032,1,1,1
62,80300536,80462580,1,1,1
63,81765080,81910724,1,1,1
64,82928236,83088040,1,1,1
65,83964540,84131440,1,1,1
66,85280952,85446952,1,1,1
67,86299448,86483772,1,1,1
68,87306288,87479816,1,1,1
69,88665320,88810912,1,1,1
70,90293424,90435892,1,1,1
71,91341400,91516580,1,1,1
72,92146080,92368632,1,1,1
73,92976140,93185328,1,1,1
74,93978844,94129588,1,1,1
75,95594092,95724068,1,1,1
76,96743580,96907720,1,1,1
77,97771224,97931620,1,1,1
78,98620120,98794292,1,1,1
79,99860800,100007488,1,1,1
80,100882028,101175116,1,1,1
81,102439716,102561308,1,1,1
82,103962904,104174136,1,1,1
83,105343728,105505080,1,1,1
84,106325672,106548364,1,1,1
85,107271960,107470932,1,1,1
86,108217532,108385648,1,1,1
87,109529244,109658192,1,1,1
88,110614792,110796876,1,1,1
89,111471472,111648348,1,1,1
90,112334948,112515608,1,1,1
91,113559196,113697380,1,1,1
92,114784972,114819016,1,1,1
93,115912620,116067220,1,1,1
94,116582812,116847848,1,1,1
95,117355440,117640740,1,1,1
96,118845340,119015924,1,1,1
97,120262516,120564844,1,1,1
98,121878436,122120812,1,1,1
99,123398404,123605544,1,1,1
100,125078136,125244276,1,1,1
