17,,28474840,2,2,1
1725457990.000,3721160
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,7233092,7618988,2,2,1
2,8274200,8565260,2,2,1
3,9589500,9916764,2,2,1
4,11402000,11710976,1,1,1
5,12272280,12615008,1,1,1
6,13230316,13716208,2,2,1
7,14604488,15091652,1,1,1
8,16367964,16662736,2,2,1
9,17345080,17697200,2,2,1
10,18330576,18788376,2,2,1
11,19382756,19932396,1,1,1
12,21002776,21370392,1,1,1
13,21983752,22314552,1,1,1
14,23679908,24035364,2,2,1
15,24854716,25233288,1,1,1
16,26245676,26626956,1,1,1
17,27337332,27635240,1,1,1
18,28660596,28907188,2,2,1
19,29483548,29788388,2,2,1
20,30518772,30863332,1,1,1
21,31577716,31971232,1,1,1
22,33270612,33707512,2,2,1
23,34880880,35422476,1,1,1
24,36283828,36660592,2,2,1
25,37924948,38286128,1,1,1
26,39599456,40028664,1,1,1
27,40568992,40900740,1,1,1
28,41738120,42070848,2,2,1
29,42878172,43200764,1,1,1
30,44454116,44781160,1,1,1
31,45704492,46074992,1,1,1
32,47214368,47536520,1,1,1
33,49038908,49349364,1,1,1
34,50520716,50923900,2,2,1
35,52215292,52708596,2,2,1
36,53648020,53952924,1,2,0
37,55230308,55489596,2,2,1
38,56060948,56478476,1,1,1
39,57301832,57604880,1,1,1
40,58119208,58548480,2,2,1
41,59062868,59511572,2,2,1
42,60939924,61396576,1,1,1
43,62054936,62398608,1,1,1
44,63717992,64082132,1,1,1
45,65573512,65961824,2,2,1
46,66895152,67264272,2,2,1
47,68020596,68408364,1,1,1
48,69080740,69385644,1,1,1
49,70060076,70412880,1,1,1
50,71162208,71460272,1,1,1
51,72490656,72770656,1,1,1
52,73860032,74191040,2,2,1
53,75144396,75445560,2,2,1
54,76514940,76866332,1,1,1
55,78204688,78608972,1,1,1
56,79708308,80068104,1,1,1
57,81018468,81372096,1,1,1
58,82180460,82768068,2,2,1
59,84172444,84586708,2,2,1
60,85431088,85782104,2,2,1
61,86483464,87321440,1,1,1
62,88406836,88834772,2,2,1
63,89583132,90085456,1,1,1
64,91571840,92047964,1,1,1
65,92602320,93011608,2,2,1
66,93632940,93977428,1,1,1
67,95293756,95728624,1,1,1
68,97097988,97371896,1,1,1
69,98674256,98999724,2,1,0
70,100131084,100490500,2,2,1
71,101119972,101474308,1,1,1
72,102232780,102779292,1,1,1
73,103595736,104145104,2,2,1
74,104921580,105316264,2,2,1
75,105906784,106567324,2,1,0
76,107995764,108400072,2,2,1
77,109207520,109631512,2,2,1
78,110164980,110589228,1,1,1
79,111952704,112379644,2,2,1
80,113032088,113586216,2,2,1
81,114667660,115001940,2,2,1
82,116459384,116981812,1,1,1
83,117644280,117928980,1,1,1
84,118443456,118755152,1,1,1
85,119464628,119782520,1,1,1
86,121223988,121497108,2,2,1
87,122733556,123064292,2,2,1
88,123917784,124262556,1,1,1
89,125614024,126065624,2,2,1
90,126858100,127167072,2,2,1
91,128081524,128375448,2,2,1
92,129645864,129940784,2,2,1
93,131441260,131866032,1,1,1
94,132393484,132905436,2,2,1
95,134073888,134610976,1,1,1
96,135804448,136146908,1,1,1
97,137332384,137711120,2,2,1
98,138713568,139068108,1,1,1
99,139744524,140250084,2,2,1
100,140843564,141216144,1,1,1
101,142430644,142997604,1,1,1
102,144443116,144889140,2,2,1
103,146039660,146615044,2,2,1
104,147359564,147784144,1,1,1
105,148978632,149377672,1,1,1
106,150023164,150513640,2,2,1
107,151655160,151988848,2,2,1
108,153376340,153732612,1,1,1
109,154868076,155170004,1,1,1
110,156306500,156594620,1,1,1
111,157753108,158075468,1,1,1
112,158841936,159319124,1,1,1
113,160531616,160940916,2,2,1
114,161832480,162229548,1,1,1
115,163066044,163504412,1,1,1
116,164805904,165161144,1,1,1
117,166222656,166739428,2,2,1
118,167960892,168302764,2,2,1
119,169702272,170034984,1,1,1
120,171148472,171543888,2,2,1
121,172465348,172851996,2,2,1
122,173674516,173988120,1,1,1
123,174515620,175397592,1,1,1
124,176260076,176591268,1,1,1
125,178042752,178391216,1,1,1
126,179167732,179468352,1,1,1
127,180545876,180861636,2,2,1
128,181493096,182105112,2,2,1
129,183453628,183796968,1,1,1
130,184481488,184867248,1,1,1
131,185479740,185952780,2,2,1
132,186853268,187184352,2,2,1
133,188065848,188409372,1,1,1
134,189770836,190151624,1,1,1
135,190702152,191127880,2,2,1
136,192282372,192665556,1,1,1
137,193320052,193828092,2,2,1
138,194382608,194796072,1,1,1
139,195566556,196146400,2,2,1
140,197538936,197937832,1,1,1
141,199224324,199626964,2,2,1
